,kl_18_101,kl_101_18,kl_18_50,kl_50_18,ent_18,ent_50,ent_101,ce_18_101,ce_101_18,ce_18_50,ce_50_18,nll_18,nll_101,brier_18,brier_101
922,0.0001,0.00010349157444889256,0.0001,0.0001,1e-05,1e-05,4.7618009267154004e-05,1e-05,5.9644399752928405e-05,1e-05,1e-05,-0.0,3.460005985768973e-06,1.1102230246251565e-15,1.884503664228987e-11
923,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,3.11972669919669e-14,0.0
924,0.00017760383710844463,0.0006798688543330758,0.00010607012912398728,0.0001783779011873985,1.6407751124053882e-05,0.0002071313141450223,0.0009431964648662477,0.00010499979358928565,0.0014651844803693736,3.773101184192648e-05,0.0002807452700950152,1.1000006049765637e-06,8.870393407768947e-05,2.21589413484935e-12,1.4720208496576959e-08
925,0.00580796962462689,0.0028152624029946127,0.014703641395928774,0.0033809594970090765,0.02251635954277607,0.00046316106644165824,0.005127568171306776,0.025554959380130922,0.006825215034052714,0.033902374975061426,0.003571577081340175,0.003332797605212243,0.0006058835103502632,2.1944772404691726e-05,7.271780091411273e-07
926,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,6.661338147750939e-16,0.0
927,0.0001,0.00010961556763387372,0.0001,0.0001,1e-05,1e-05,8.146148779902907e-05,1e-05,9.502296025553393e-05,1e-05,1e-05,2.400000287847015e-07,6.300019845097977e-06,1.3156142841808105e-13,7.882339225773194e-11
928,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,1.554312234475219e-14,0.0
929,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,3.1308289294429414e-14,2.220446049250313e-15
930,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,4.440892098500626e-16,0.0
931,0.0001,0.0001,0.00010644005631705871,0.0001,3.276174151645904e-05,1e-05,3.758817806277349e-05,3.9829458438707095e-05,4.1006151552566015e-05,4.987804027546519e-05,1e-05,2.150002311287382e-06,2.600003379969601e-06,7.283285086145952e-12,1.2314038677629924e-11
932,0.001261070799162779,0.0036903340435742336,0.0005464366457400942,0.0001600924564197563,0.0007857574274669433,1e-05,0.0096811409467682,0.0017812282879319328,0.01214368381780168,0.0012062709803764878,7.583015423818137e-05,7.045248171786389e-05,0.0012297558398482846,8.623317060418856e-09,2.917714169825558e-06
933,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
